Results - based on chains 2 & 3 only as evidence of non-convergence with chain 1
30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,30]	0.2998	0.162	0.001923	0.3137	0.4932	210000
	S[2,31]	0.2934	0.1609	0.001923	0.3048	0.4854	210000
	S[2,32]	0.2872	0.1599	0.001922	0.2961	0.4802	210000
	S[2,33]	0.2812	0.159	0.001923	0.2879	0.472	210000
	S[2,34]	0.2754	0.1583	0.001923	0.28	0.4644	210000
	S[2,35]	0.2698	0.1576	0.001923	0.2722	0.4577	210000
	S[2,36]	0.2643	0.1571	0.001923	0.2647	0.4513	210000
	S[2,37]	0.2591	0.1566	0.001922	0.2576	0.4443	210000
	S[2,38]	0.2539	0.1562	0.001923	0.2505	0.437	210000
	S[2,39]	0.249	0.1559	0.001923	0.2437	0.429	210000
	S[2,40]	0.2442	0.1556	0.001923	0.2371	0.4217	210000
	S[2,41]	0.2395	0.1554	0.001923	0.2307	0.4181	210000
	S[2,42]	0.235	0.1552	0.001922	0.2245	0.4117	210000
	S[2,43]	0.2307	0.1551	0.001922	0.2186	0.41	210000
	S[2,44]	0.2264	0.1551	0.001923	0.2129	0.4066	210000
	S[2,45]	0.2223	0.1551	0.001923	0.2073	0.405	210000
	S[2,46]	0.2183	0.1551	0.001923	0.2019	0.402	210000
	S[2,47]	0.2144	0.1551	0.001923	0.1966	0.3957	210000
	S[2,48]	0.2106	0.1552	0.001923	0.1915	0.3886	210000
	S[2,49]	0.207	0.1553	0.001289	0.1865	0.3863	210000
	S[2,50]	0.2034	0.1554	0.001221	0.1816	0.3817	210000
	S[2,51]	0.2	0.1556	0.001203	0.177	0.3722	210000
	S[2,52]	0.1966	0.1557	0.001395	0.1724	0.3672	210000
	S[2,53]	0.1934	0.1559	0.001201	0.168	0.3639	210000
	S[2,54]	0.1902	0.1561	0.001201	0.1637	0.3607	210000
	S[2,55]	0.1871	0.1563	0.001259	0.1594	0.3556	210000
	S[2,56]	0.1841	0.1565	0.001329	0.1553	0.3498	210000
	S[2,57]	0.1812	0.1568	0.001351	0.1513	0.3459	210000
	S[2,58]	0.1784	0.157	0.001202	0.1475	0.3409	210000
