Results - 30,000 burn in 70,000 iterations, seed 385916
	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[1,99]	0.01889	0.00669	0.008269	0.01801	0.03442	210000
	S[1,100]	0.01818	0.006512	0.007857	0.01732	0.03333	210000
	S[1,101]	0.0175	0.006339	0.007472	0.01665	0.03228	210000
	S[1,102]	0.01684	0.006169	0.007099	0.016	0.03128	210000
	S[1,103]	0.01621	0.006003	0.006734	0.01539	0.0303	210000
	S[1,104]	0.01561	0.005842	0.006377	0.0148	0.02937	210000
	S[1,105]	0.01502	0.005684	0.006053	0.01423	0.02844	210000
	S[1,106]	0.01446	0.00553	0.005742	0.01368	0.02755	210000
	S[1,107]	0.01392	0.00538	0.00543	0.01315	0.02668	210000
	S[1,108]	0.0134	0.005234	0.005134	0.01265	0.02584	210000
	S[1,109]	0.0129	0.005091	0.004862	0.01216	0.02503	210000
	S[1,110]	0.01242	0.004952	0.004595	0.01169	0.02424	210000
	S[1,111]	0.01196	0.004816	0.004346	0.01124	0.02349	210000
	S[1,112]	0.01151	0.004683	0.004094	0.0108	0.02275	210000
	S[1,113]	0.01108	0.004554	0.003866	0.01039	0.02203	210000
	S[1,114]	0.01067	0.004429	0.003639	0.009986	0.02133	210000
	S[1,115]	0.01027	0.004306	0.003402	0.009603	0.02066	210000
	S[1,116]	0.009892	0.004187	0.003174	0.009233	0.02001	210000
	S[1,117]	0.009524	0.00407	0.002971	0.008879	0.0194	210000
	S[1,118]	0.00917	0.003957	0.002787	0.008536	0.01881	210000
	S[1,119]	0.008829	0.003846	0.002607	0.008208	0.01823	210000
	S[1,120]	0.008502	0.003739	0.002434	0.007892	0.01767	210000
	S[2,1]	0.8861	0.0789	0.6796	0.9066	0.9762	210000
	S[2,2]	0.8379	0.08755	0.6151	0.8581	0.9479	210000
	S[2,3]	0.8007	0.08945	0.5764	0.8198	0.9185	210000
	S[2,4]	0.7685	0.08916	0.5474	0.7865	0.8895	210000
	S[2,5]	0.7393	0.08791	0.5229	0.7562	0.8612	210000
	S[2,6]	0.7122	0.08617	0.5012	0.7282	0.8339	210000
	S[2,7]	0.6867	0.08419	0.4809	0.7017	0.8074	210000
	S[2,8]	0.6626	0.08209	0.4628	0.6767	0.782	210000
	S[2,9]	0.6397	0.07996	0.4461	0.653	0.7575	210000
	S[2,10]	0.6179	0.07783	0.4304	0.6304	0.7342	210000
	S[2,11]	0.597	0.07575	0.4157	0.6087	0.7118	210000
	S[2,12]	0.577	0.07372	0.4014	0.5879	0.6902	210000
	S[2,13]	0.5578	0.07177	0.3884	0.5679	0.6697	210000
	S[2,14]	0.5393	0.06989	0.3753	0.5486	0.6498	210000
	S[2,15]	0.5216	0.0681	0.3626	0.5301	0.6308	210000
	S[2,16]	0.5045	0.06638	0.3503	0.5123	0.6124	210000
	S[2,17]	0.488	0.06475	0.339	0.4952	0.5947	210000
	S[2,18]	0.4722	0.06321	0.3281	0.4787	0.5776	210000
	S[2,19]	0.4569	0.06173	0.3174	0.4628	0.5612	210000
	S[2,20]	0.4422	0.06034	0.3068	0.4476	0.5454	210000
	S[2,21]	0.4279	0.05901	0.2965	0.4328	0.53	210000
	S[2,22]	0.4142	0.05775	0.2868	0.4186	0.5153	210000
	S[2,23]	0.401	0.05655	0.2774	0.4048	0.501	210000
	S[2,24]	0.3882	0.05541	0.2685	0.3916	0.4873	210000
	S[2,25]	0.3758	0.05433	0.2595	0.3788	0.4738	210000
	S[2,26]	0.3639	0.05329	0.2508	0.3665	0.4609	210000
