Results - 30,000 burn in, 70,000 iterations

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[3,78]	0.1699	0.04345	0.09126	0.1679	0.2603	210000
	S[3,79]	0.1675	0.04334	0.08917	0.1654	0.2578	210000
	S[3,80]	0.165	0.04323	0.08708	0.1629	0.2552	210000
	S[3,81]	0.1627	0.04311	0.08504	0.1605	0.2527	210000
	S[3,82]	0.1603	0.043	0.08313	0.1581	0.2503	210000
	S[3,83]	0.1581	0.04288	0.0812	0.1557	0.2479	210000
	S[3,84]	0.1558	0.04276	0.07938	0.1534	0.2455	210000
	S[3,85]	0.1536	0.04264	0.07762	0.1512	0.2432	210000
	S[3,86]	0.1515	0.04252	0.07575	0.149	0.2409	210000
	S[3,87]	0.1494	0.04239	0.07401	0.1469	0.2387	210000
	S[3,88]	0.1473	0.04227	0.07229	0.1447	0.2365	210000
	S[3,89]	0.1453	0.04214	0.07066	0.1427	0.2343	210000
	S[3,90]	0.1433	0.04201	0.06905	0.1406	0.2321	210000
	S[3,91]	0.1413	0.04188	0.06748	0.1387	0.23	210000
	S[3,92]	0.1394	0.04175	0.06599	0.1367	0.2279	210000
	S[3,93]	0.1375	0.04162	0.06447	0.1348	0.2259	210000
	S[3,94]	0.1356	0.04149	0.06299	0.1329	0.2238	210000
	S[3,95]	0.1338	0.04135	0.06155	0.131	0.2219	210000
	S[3,96]	0.132	0.04121	0.06013	0.1292	0.22	210000
	S[3,97]	0.1303	0.04108	0.05876	0.1274	0.218	210000
	S[3,98]	0.1286	0.04094	0.05745	0.1256	0.2161	210000
	S[3,99]	0.1269	0.0408	0.05617	0.1239	0.2142	210000
	S[3,100]	0.1252	0.04066	0.05492	0.1222	0.2124	210000
	S[3,101]	0.1236	0.04052	0.05367	0.1205	0.2105	210000
	S[3,102]	0.122	0.04038	0.05247	0.1188	0.2088	210000
	S[3,103]	0.1204	0.04023	0.0513	0.1172	0.2071	210000
	S[3,104]	0.1188	0.04009	0.05015	0.1156	0.2052	210000
	S[3,105]	0.1173	0.03995	0.04901	0.1141	0.2035	210000
	S[3,106]	0.1158	0.0398	0.0479	0.1125	0.2018	210000
	S[3,107]	0.1143	0.03965	0.04684	0.111	0.2002	210000
	S[3,108]	0.1129	0.03951	0.04582	0.1095	0.1985	210000
	S[3,109]	0.1115	0.03936	0.04479	0.1081	0.197	210000
	S[3,110]	0.1101	0.03921	0.04381	0.1067	0.1954	210000
	S[3,111]	0.1087	0.03907	0.04284	0.1053	0.1939	210000
	S[3,112]	0.1073	0.03892	0.0419	0.1039	0.1923	210000
	S[3,113]	0.106	0.03877	0.04097	0.1025	0.1908	210000
	S[3,114]	0.1047	0.03862	0.04003	0.1011	0.1893	210000
	S[3,115]	0.1034	0.03847	0.03917	0.09982	0.1878	210000
