Results - 30,000 burn in 70,000 iterations, seed 385916

	 node	 mean	 sd	 MC error	2.5%	median	97.5%	start	sample
	S[2,4]	0.7693	0.1933	0.1479	0.8444	0.9276	210000
	S[2,5]	0.742	0.187	0.1422	0.8137	0.8989	210000
	S[2,6]	0.7158	0.1806	0.1383	0.7842	0.8706	210000
	S[2,7]	0.6904	0.1744	0.1357	0.7557	0.8431	210000
	S[2,8]	0.666	0.1684	0.1289	0.7281	0.8166	210000
	S[2,9]	0.6425	0.1625	0.1258	0.7012	0.7909	210000
	S[2,10]	0.6198	0.1569	0.1221	0.6755	0.7662	210000
	S[2,11]	0.5979	0.1515	0.1174	0.6504	0.7425	210000
	S[2,12]	0.5768	0.1463	0.1122	0.6265	0.7196	210000
	S[2,13]	0.5565	0.1413	0.1086	0.6033	0.6975	210000
	S[2,14]	0.5369	0.1365	0.1053	0.581	0.6762	210000
	S[2,15]	0.518	0.1319	0.1017	0.5594	0.6556	210000
	S[2,16]	0.4998	0.1275	0.09789	0.5387	0.6358	210000
	S[2,17]	0.4822	0.1233	0.09476	0.5187	0.6165	210000
	S[2,18]	0.4652	0.1192	0.09128	0.4997	0.5979	210000
	S[2,19]	0.4489	0.1153	0.08812	0.4812	0.58	210000
	S[2,20]	0.4331	0.1116	0.08519	0.4634	0.5627	210000
	S[2,21]	0.4179	0.1081	0.08236	0.4462	0.5458	210000
	S[2,22]	0.4032	0.1046	0.07977	0.4298	0.5297	210000
	S[2,23]	0.3891	0.1013	0.07704	0.414	0.5139	210000
	S[2,24]	0.3755	0.09817	0.07463	0.3988	0.4986	210000
	S[2,25]	0.3623	0.09514	0.07209	0.3842	0.484	210000
	S[2,26]	0.3496	0.09222	0.0697	0.3701	0.4699	210000
	S[2,27]	0.3374	0.08942	0.06758	0.3565	0.4561	210000
	S[2,28]	0.3256	0.08672	0.06543	0.3434	0.4427	210000
	S[2,29]	0.3142	0.08413	0.06315	0.3309	0.4298	210000
	S[2,30]	0.3032	0.08163	0.0609	0.3188	0.4173	210000
	S[2,31]	0.2927	0.07923	0.05906	0.3072	0.4051	210000
	S[2,32]	0.2824	0.07691	0.05715	0.2961	0.3933	210000
	S[2,33]	0.2726	0.07468	0.05552	0.2853	0.3818	210000
	S[2,34]	0.2631	0.07252	0.05394	0.2749	0.3708	210000
	S[2,35]	0.2539	0.07045	0.05212	0.265	0.36	210000
	S[2,36]	0.2451	0.06844	0.05057	0.2554	0.3496	210000
	S[2,37]	0.2366	0.06651	0.04886	0.246	0.3395	210000
	S[2,38]	0.2283	0.06464	0.04741	0.2371	0.3296	210000
	S[2,39]	0.2204	0.06284	0.04606	0.2285	0.3201	210000
	S[2,40]	0.2127	0.06109	0.0447	0.2202	0.3109	210000
	S[2,41]	0.2054	0.0594	0.04322	0.2123	0.3019	210000
	S[2,42]	0.1982	0.05777	0.04191	0.2046	0.2932	210000
	S[2,43]	0.1914	0.05619	0.03984	0.1973	0.2847	210000
	S[2,44]	0.1847	0.05466	0.03856	0.1902	0.2765	210000
	S[2,45]	0.1783	0.05318	0.03708	0.1833	0.2685	210000
	S[2,46]	0.1722	0.05175	0.03594	0.1767	0.2608	210000
	S[2,47]	0.1662	0.05036	0.03491	0.1703	0.2533	210000
	S[2,48]	0.1605	0.04901	0.0337	0.1642	0.246	210000
	S[2,49]	0.1549	0.0477	0.03232	0.1583	0.239	210000
	S[2,50]	0.1496	0.04643	0.03132	0.1526	0.2321	210000
	S[2,51]	0.1444	0.0452	0.03033	0.1471	0.2255	210000
	S[2,52]	0.1394	0.04401	0.02939	0.1418	0.2191	210000
	S[2,53]	0.1346	0.04285	0.02839	0.1367	0.2128	210000
	S[2,54]	0.13	0.04172	0.02746	0.1319	0.2068	210000
	S[2,55]	0.1255	0.04063	0.02624	0.1271	0.2009	210000
	S[2,56]	0.1212	0.03957	0.02542	0.1226	0.1952	210000
	S[2,57]	0.117	0.03854	0.02452	0.1182	0.1896	210000
	S[2,58]	0.113	0.03753	0.02366	0.1139	0.1842	210000
	S[2,59]	0.1091	0.03656	0.02299	0.1099	0.1789	210000
	S[2,60]	0.1053	0.03561	0.02217	0.1059	0.1738	210000
	S[2,61]	0.1017	0.03469	0.02142	0.1022	0.1689	210000
